line_number,raw_field_count,expected_field_count,repair_action,food_item_after_repair
203,12,12,no_repair_needed,Breadstick (1 large)
204,12,12,no_repair_needed,Cobb Salad
205,12,12,no_repair_needed,Blue Cheese Dressing (2 tbsp)
206,12,12,no_repair_needed,Mandarin Orange (1 medium)
207,12,12,no_repair_needed,Cashews (1 oz roasted)
208,12,12,no_repair_needed,Eggo Waffle (2 waffles)
209,12,12,no_repair_needed,Diet Soda (1 can)
210,12,12,no_repair_needed,Pulled Pork Sandwich
211,12,12,no_repair_needed,Macadamia Nuts (1 oz)
212,12,12,no_repair_needed,Crab Cakes (2 medium)
213,12,12,no_repair_needed,Tartar Sauce (2 tbsp)
214,12,12,no_repair_needed,Lemon Bar (1 square)
215,12,12,no_repair_needed,Almond Milk (Unsweetened 1 cup)
216,12,12,no_repair_needed,Rice Krispies (1.5 cups)
217,12,12,no_repair_needed,Sugar (1 tsp for cereal)
218,12,12,no_repair_needed,Tuna (Canned 3oz in water)
219,12,12,no_repair_needed,Mayonnaise (1 tbsp)
220,12,12,no_repair_needed,Pickle (1 spear dill)
221,12,12,no_repair_needed,Lobster Bisque (1 cup)
222,12,12,no_repair_needed,Reuben Sandwich
223,12,12,no_repair_needed,Sauerkraut (1/4 cup side)
224,12,12,no_repair_needed,Mushroom (White 1 cup sliced)
225,12,12,no_repair_needed,Soy Milk (Original 1 cup)
226,12,12,no_repair_needed,Chicken Tikka Masala (1.5 cups)
227,12,12,no_repair_needed,Naan Bread (1 piece)
228,12,12,no_repair_needed,Cucumber Salad (1/2 cup)
229,12,12,no_repair_needed,Vodka Soda (1 drink)
230,12,12,no_repair_needed,Chocolate Croissant
231,12,12,no_repair_needed,Sweet & Sour Chicken (1 cup)
232,12,12,no_repair_needed,Egg Drop Soup (1 cup)
233,12,12,no_repair_needed,String Cheese (1 stick)
234,12,12,no_repair_needed,Turkey Burger (1 patty)
235,13,12,food_item_comma_repaired,"Mustard (1 tbsp, yellow)"
236,12,12,no_repair_needed,Potato Salad (1/2 cup)
237,12,12,no_repair_needed,Cranberry Juice (1 cup)
238,13,12,food_item_comma_repaired,"Spinach (1 cup, raw)"
239,12,12,no_repair_needed,Chicken Piccata (1 serving)
240,12,12,no_repair_needed,Angel Hair Pasta (1 cup)
241,12,12,no_repair_needed,Olive Oil (1 tbsp)
242,12,12,no_repair_needed,Garlic (1 clove)
243,12,12,no_repair_needed,Salami (3 slices)
244,12,12,no_repair_needed,Provolone Cheese (1 slice)
245,12,12,no_repair_needed,Ginger Ale (1 can)
246,12,12,no_repair_needed,Shrimp Scampi (1 cup)
247,12,12,no_repair_needed,Tiramisu (1 slice)
248,12,12,no_repair_needed,Cereal Bar (Fruit)
249,12,12,no_repair_needed,Veal Parmesan (1 serving)
250,12,12,no_repair_needed,Spaghetti (side)
251,12,12,no_repair_needed,Hot Chocolate (1 cup)
252,12,12,no_repair_needed,Coconut Shrimp (5 pcs)
253,12,12,no_repair_needed,Sweet Chili Sauce (2 tbsp)
254,12,12,no_repair_needed,White Wine (5 oz glass)
255,12,12,no_repair_needed,Trail Mix (1/4 cup)
256,12,12,no_repair_needed,Onion Rings (6 rings)
257,12,12,no_repair_needed,Poached Egg (1 large)
258,12,12,no_repair_needed,Canadian Bacon (2 slices)
259,12,12,no_repair_needed,Eggs Benedict (1 serving)
260,12,12,no_repair_needed,Hollandaise Sauce (2 tbsp)
261,12,12,no_repair_needed,Spinach Artichoke Dip (1/4 cup)
262,12,12,no_repair_needed,Tortilla Chips (1 oz)
263,12,12,no_repair_needed,Chicken Kebab (2 skewers)
264,12,12,no_repair_needed,Bell Peppers & Onions (sautéed)
265,12,12,no_repair_needed,Hummus Wrap (large)
266,12,12,no_repair_needed,Kombucha (1 cup)
267,12,12,no_repair_needed,Beef Stroganoff (1.5 cups)
268,12,12,no_repair_needed,Egg Noodles (1 cup cooked)
269,12,12,no_repair_needed,Cottage Cheese (1 cup low fat)
270,12,12,no_repair_needed,Tomato (1 medium sliced)
271,12,12,no_repair_needed,Black Pepper (1 tsp)
272,12,12,no_repair_needed,Chocolate Pudding (1/2 cup)
273,12,12,no_repair_needed,Mackerel (3oz cooked)
274,12,12,no_repair_needed,Collard Greens (1 cup cooked)
275,12,12,no_repair_needed,Ham (3oz deli sliced)
276,12,12,no_repair_needed,Swiss Cheese (1 slice)
277,12,12,no_repair_needed,Rye Bread (1 slice)
278,12,12,no_repair_needed,Potato Leek Soup (1 cup)
279,12,12,no_repair_needed,Brie Cheese (1 oz)
280,12,12,no_repair_needed,Water Cracker (5 crackers)
281,12,12,no_repair_needed,Grapefruit (1/2 medium)
282,12,12,no_repair_needed,Veggie Straws (1 oz)
283,12,12,no_repair_needed,Fish Tacos (2 tacos)
284,12,12,no_repair_needed,Cabbage Slaw (side)
285,12,12,no_repair_needed,Lime (juice of 1)
286,12,12,no_repair_needed,Beer (12 oz light)
287,12,12,no_repair_needed,Danish (Cheese 1 medium)
288,12,12,no_repair_needed,Kefir (Plain 1 cup)
289,12,12,no_repair_needed,Gnocchi (1 cup)
290,12,12,no_repair_needed,Pesto Sauce (1/4 cup)
291,12,12,no_repair_needed,Pine Nuts (1 tbsp)
292,12,12,no_repair_needed,Chai Latte (12 oz)
293,12,12,no_repair_needed,Manicotti (2 shells cheese)
294,12,12,no_repair_needed,Italian Sausage (1 link)
295,12,12,no_repair_needed,Jicama (1 cup sticks)
296,12,12,no_repair_needed,Chili Powder (1 tsp)
297,12,12,no_repair_needed,Ants on a Log (4 pcs)
298,12,12,no_repair_needed,Split Pea Soup (1 cup)
299,12,12,no_repair_needed,Ham & Cheese Croissant
300,12,12,no_repair_needed,Espresso (double shot)
301,12,12,no_repair_needed,Ricotta Cheese (1/4 cup)
302,12,12,no_repair_needed,Chicken & Rice Soup (1 can)
303,12,12,no_repair_needed,Salt (1/4 tsp)
304,12,12,no_repair_needed,Guava
305,12,12,no_repair_needed,Club Sandwich
306,12,12,no_repair_needed,Pickle (1 whole dill)
307,12,12,no_repair_needed,Turkey Chili (1 cup)
308,12,12,no_repair_needed,Sour Cream (2 tbsp)
309,12,12,no_repair_needed,Shredded Cheese (Cheddar 1/4 cup)
310,12,12,no_repair_needed,Matcha Latte (12 oz)
311,12,12,no_repair_needed,Chocolate Donut (1 medium)
312,12,12,no_repair_needed,Tuna Melt
313,12,12,no_repair_needed,Apple Cider (1 cup)
314,12,12,no_repair_needed,Beef Burrito (large)
315,12,12,no_repair_needed,Pico de Gallo (1/4 cup)
316,12,12,no_repair_needed,Corn Tortilla (1 medium)
317,12,12,no_repair_needed,Mussels (3oz steamed)
318,12,12,no_repair_needed,White Wine Sauce (1/4 cup)
319,12,12,no_repair_needed,French Bread (2 slices)
320,12,12,no_repair_needed,Blackberries (1 cup)
321,12,12,no_repair_needed,Cheese Danish
322,12,12,no_repair_needed,Chicken Salad Sandwich
323,12,12,no_repair_needed,Soyrizo (2 oz)
324,12,12,no_repair_needed,Hash Browns (1 cup)
325,12,12,no_repair_needed,Ketchup (1 packet)
326,12,12,no_repair_needed,Philly Cheesesteak (6 inch)
327,12,12,no_repair_needed,Cheese Whiz (2 tbsp)
328,12,12,no_repair_needed,Onions (sautéed 1/4 cup)
329,12,12,no_repair_needed,Raspberries (1 cup)
330,12,12,no_repair_needed,Cheesy Grits (1 cup)
331,12,12,no_repair_needed,Collard Greens (with ham hock)
332,12,12,no_repair_needed,Fried Okra (1 cup)
333,12,12,no_repair_needed,Sweet Tea (16 oz)
334,12,12,no_repair_needed,Gyro (1 sandwich)
335,12,12,no_repair_needed,Pita Bread (White 1 large)
336,12,12,no_repair_needed,Tzatziki Sauce (2 tbsp)
337,12,12,no_repair_needed,Baklava (1 piece)
338,12,12,no_repair_needed,Coconut (shredded 1/4 cup)
339,12,12,no_repair_needed,S'more (1 serving)
340,12,12,no_repair_needed,Graham Cracker (1 large rectangle)
341,12,12,no_repair_needed,Marshmallow (1 large)
342,12,12,no_repair_needed,Chocolate (Hershey's bar 1 segment)
343,12,12,no_repair_needed,Chicken Parm Sandwich
344,12,12,no_repair_needed,Mozzarella (1 slice)
345,12,12,no_repair_needed,Bread Roll (hoagie)
346,12,12,no_repair_needed,Artichoke (1 medium steamed)
347,12,12,no_repair_needed,Mayonnaise (1 tbsp for dipping)
348,12,12,no_repair_needed,Calamari (fried 3oz)
349,12,12,no_repair_needed,Lemon Wedge (for calamari)
350,12,12,no_repair_needed,Root Beer (1 can)
351,12,12,no_repair_needed,Chicken McNuggets (6 pcs)
352,12,12,no_repair_needed,BBQ Sauce (2 tbsp)
353,12,12,no_repair_needed,Honey (1 tbsp)
354,12,12,no_repair_needed,Tofu Scramble
355,12,12,no_repair_needed,Turmeric (1 tsp)
356,12,12,no_repair_needed,Nutritional Yeast (1 tbsp)
357,12,12,no_repair_needed,Seitan (3oz)
358,12,12,no_repair_needed,Vegetable Broth (1 cup)
359,12,12,no_repair_needed,Mashed Cauliflower (1 cup)
360,12,12,no_repair_needed,Peanut Sauce (2 tbsp)
361,12,12,no_repair_needed,Tempeh (3oz)
362,12,12,no_repair_needed,Sauerkraut (1/2 cup)
363,12,12,no_repair_needed,Rye Crispbread (2 slices)
364,12,12,no_repair_needed,Capers (1 tbsp)
365,12,12,no_repair_needed,Chicken Liver (2 oz cooked)
366,12,12,no_repair_needed,Onion (1/2 cup raw chopped)
367,12,12,no_repair_needed,Bok Choy (1 cup steamed)
368,12,12,no_repair_needed,Gummy Bears (10 pcs)
369,12,12,no_repair_needed,Whiskey (1.5 oz shot)
370,12,12,no_repair_needed,Dates (2 medium Medjool)
371,12,12,no_repair_needed,Tahini (1 tbsp)
372,12,12,no_repair_needed,Chickpeas (1/2 cup canned)
373,12,12,no_repair_needed,Lettuce (Romaine 2 cups)
374,12,12,no_repair_needed,Italian Dressing (2 tbsp)
375,12,12,no_repair_needed,Croutons (1/4 cup)
376,12,12,no_repair_needed,Turkey Sausage (1 patty)
377,12,12,no_repair_needed,Maple Syrup (1 tbsp)
378,13,12,food_item_comma_repaired,"Margarita (1 drink, 4oz)"
379,12,12,no_repair_needed,Quesadilla (Cheese 1 medium)
380,12,12,no_repair_needed,Sour Cream (1 tbsp)
381,12,12,no_repair_needed,Salsa (2 tbsp)
382,12,12,no_repair_needed,Red Cabbage (1 cup raw)
383,12,12,no_repair_needed,Duck (3oz roasted)
384,12,12,no_repair_needed,Orange Sauce (1/4 cup for duck)
385,12,12,no_repair_needed,Wild Rice (1 cup cooked)
386,12,12,no_repair_needed,Cupcake (Vanilla 1 medium)
387,12,12,no_repair_needed,Frosting (Vanilla 2 tbsp)
388,12,12,no_repair_needed,Hot Sauce (1 tsp Tabasco)
389,12,12,no_repair_needed,Bison Burger (1 patty)
390,12,12,no_repair_needed,Pretzel Bun (1 medium)
391,12,12,no_repair_needed,Spicy Mustard (1 tbsp)
392,12,12,no_repair_needed,Pasta Salad (1 cup)
393,12,12,no_repair_needed,Salami (3 slices)
394,12,12,no_repair_needed,Pepperoncini (2 peppers)
395,12,12,no_repair_needed,Coconut Milk (1/4 cup canned)
396,12,12,no_repair_needed,Green Curry Paste (1 tbsp)
397,12,12,no_repair_needed,Chicken Thigh (1 roasted)
398,12,12,no_repair_needed,Jasmine Rice (1 cup cooked)
399,12,12,no_repair_needed,Thai Iced Tea (1 glass)
400,12,12,no_repair_needed,Papaya (1 cup cubes)
401,12,12,no_repair_needed,Lime Juice (1 tbsp)
402,12,12,no_repair_needed,Macaroni Salad (1 cup)
403,12,12,no_repair_needed,Celery (1 stalk)
404,12,12,no_repair_needed,Blue Cheese (1 oz)
405,12,12,no_repair_needed,Dark Chocolate (1 oz 70%)
406,12,12,no_repair_needed,Acai Bowl (1 serving)
407,12,12,no_repair_needed,Granola (1/4 cup topping)
408,12,12,no_repair_needed,Coconut Flakes (1 tbsp topping)
409,12,12,no_repair_needed,Honey (1 tsp drizzle)
410,12,12,no_repair_needed,Shrimp Cocktail (4 large shrimp)
411,12,12,no_repair_needed,Cocktail Sauce (2 tbsp)
412,12,12,no_repair_needed,Pork Bun (1 steamed)
413,12,12,no_repair_needed,Dim Sum (Siu Mai 3 pcs)
414,12,12,no_repair_needed,Soy Sauce (1 tbsp for dipping)
415,12,12,no_repair_needed,Oyster (1 medium raw)
416,12,12,no_repair_needed,Mignonette Sauce (1 tbsp)
417,12,12,no_repair_needed,Beef Pho (1 large bowl)
418,12,12,no_repair_needed,Bean Sprouts (1/4 cup garnish)
419,12,12,no_repair_needed,Thai Basil (garnish)
420,12,12,no_repair_needed,Lime Wedge (garnish)
421,12,12,no_repair_needed,Jalapeno (1 tbsp sliced)
422,12,12,no_repair_needed,Hoisin Sauce (1 tbsp)
423,12,12,no_repair_needed,Sriracha (1 tsp)
424,12,12,no_repair_needed,Crepe (1 plain)
425,12,12,no_repair_needed,Nutella (1 tbsp)
426,12,12,no_repair_needed,Powdered Sugar (1 tsp)
427,12,12,no_repair_needed,Sake (3 oz)
428,12,12,no_repair_needed,Edamame (in pod 1 cup)
429,12,12,no_repair_needed,Sea Salt (coarse 1/4 tsp)
430,12,12,no_repair_needed,Biryani (Chicken 1.5 cups)
431,12,12,no_repair_needed,Raita (2 tbsp)
432,12,12,no_repair_needed,Lassi (Mango 1 cup)
433,12,12,no_repair_needed,Samosa (1 piece vegetable)
434,12,12,no_repair_needed,Tamarind Chutney (1 tbsp)
435,12,12,no_repair_needed,Mint Chutney (1 tbsp)
436,12,12,no_repair_needed,Pani Puri (6 pcs)
437,12,12,no_repair_needed,Passion Fruit (1 fruit)
438,12,12,no_repair_needed,Kimchi Jjigae (1 bowl)
439,12,12,no_repair_needed,Silken Tofu (3oz in soup)
440,12,12,no_repair_needed,Pork Belly (1 oz in soup)
441,12,12,no_repair_needed,Gochugaru (1 tsp)
442,12,12,no_repair_needed,Gochujang (1 tbsp)
443,12,12,no_repair_needed,Sesame Oil (1 tsp)
444,12,12,no_repair_needed,Fish Sauce (1 tsp)
445,13,12,food_item_comma_repaired,"Sugar (1 tsp, in broth)"
446,12,12,no_repair_needed,Green Onion (1 tbsp garnish)
447,12,12,no_repair_needed,Kombucha (16 oz)
448,12,12,no_repair_needed,Beef Wellington (1 slice)
449,12,12,no_repair_needed,Pate (Mushroom 2 tbsp)
450,12,12,no_repair_needed,Puff Pastry (1 oz wrapper)
451,12,12,no_repair_needed,Prosciutto (1 slice)
452,12,12,no_repair_needed,Asparagus (6 spears roasted)
453,12,12,no_repair_needed,Hollandaise Sauce (1 tbsp)
454,12,12,no_repair_needed,Flan (1 slice)
455,12,12,no_repair_needed,Caramel Sauce (1 tbsp)
456,12,12,no_repair_needed,Congee (1 cup plain)
457,12,12,no_repair_needed,Pickled Radish (1/4 cup)
458,12,12,no_repair_needed,Pork Floss (1 tbsp)
459,12,12,no_repair_needed,Century Egg (1 egg)
460,12,12,no_repair_needed,Arugula (2 cups)
461,12,12,no_repair_needed,Goat Cheese (1 oz)
462,12,12,no_repair_needed,Beets (1/2 cup roasted)
463,12,12,no_repair_needed,Walnuts (1 tbsp chopped)
464,12,12,no_repair_needed,Balsamic Glaze (1 tbsp)
465,12,12,no_repair_needed,Bobotie (1 serving)
466,12,12,no_repair_needed,Yellow Rice (1 cup)
467,12,12,no_repair_needed,Chutney (Mango 1 tbsp)
468,12,12,no_repair_needed,Malva Pudding (1 slice)
469,12,12,no_repair_needed,Custard (1/4 cup)
470,12,12,no_repair_needed,Bubble Tea (16 oz milk tea)
471,12,12,no_repair_needed,Tapioca Pearls (1/4 cup boba)
472,12,12,no_repair_needed,Paella (1.5 cups seafood)
473,12,12,no_repair_needed,Chorizo (1 oz in paella)
474,12,12,no_repair_needed,Saffron (pinch)
475,12,12,no_repair_needed,Aioli (Garlic 1 tbsp)
476,12,12,no_repair_needed,Gazpacho (1 cup)
477,12,12,no_repair_needed,Croutons (Garlic 1/4 cup)
478,12,12,no_repair_needed,Olive Oil (1 tsp garnish)
479,12,12,no_repair_needed,Churros (2 sticks)
480,12,12,no_repair_needed,Chocolate Sauce (1 tbsp dipping)
481,12,12,no_repair_needed,Cinnamon Sugar (1 tsp)
482,12,12,no_repair_needed,Horchata (1 cup)
483,12,12,no_repair_needed,Ceviche (1 cup fish)
484,12,12,no_repair_needed,Red Onion (1/4 cup in ceviche)
485,12,12,no_repair_needed,Cilantro (2 tbsp garnish)
486,12,12,no_repair_needed,Corn Nuts (1 oz)
487,12,12,no_repair_needed,Lomo Saltado (1.5 cups)
488,12,12,no_repair_needed,French Fries (as side)
